"GEO_ID","id"
"NAME","Geographic Area Name"
"CP03_2008_001E","2008 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over"
"CP03_2008_002E","2008 Estimate!!EMPLOYMENT STATUS!!In labor force"
"CP03_2008_003E","2008 Estimate!!EMPLOYMENT STATUS!!In labor force!!Civilian labor force"
"CP03_2008_004E","2008 Estimate!!EMPLOYMENT STATUS!!In labor force!!Civilian labor force!!Employed"
"CP03_2008_005E","2008 Estimate!!EMPLOYMENT STATUS!!In labor force!!Civilian labor force!!Unemployed"
"CP03_2008_006E","2008 Estimate!!EMPLOYMENT STATUS!!In labor force!!Armed Forces"
"CP03_2008_007E","2008 Estimate!!EMPLOYMENT STATUS!!Not in labor force"
"CP03_2008_008E","2008 Estimate!!EMPLOYMENT STATUS!!Civilian labor force"
"CP03_2008_009E","2008 Estimate!!EMPLOYMENT STATUS!!Percent Unemployed"
"CP03_2008_010E","2008 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over"
"CP03_2008_011E","2008 Estimate!!EMPLOYMENT STATUS!!In labor force"
"CP03_2008_012E","2008 Estimate!!EMPLOYMENT STATUS!!In labor force!!Civilian labor force"
"CP03_2008_013E","2008 Estimate!!EMPLOYMENT STATUS!!In labor force!!Civilian labor force!!Employed"
"CP03_2008_014E","2008 Estimate!!EMPLOYMENT STATUS!!Own children under 6 years"
"CP03_2008_015E","2008 Estimate!!EMPLOYMENT STATUS!!All parents in family in labor force"
"CP03_2008_016E","2008 Estimate!!EMPLOYMENT STATUS!!Own children 6 to 17 years"
"CP03_2008_017E","2008 Estimate!!EMPLOYMENT STATUS!!All parents in family in labor force"
"CP03_2008_018E","2008 Estimate!!COMMUTING TO WORK!!Workers 16 years and over"
"CP03_2008_019E","2008 Estimate!!COMMUTING TO WORK!!Car, truck, or van -- drove alone"
"CP03_2008_020E","2008 Estimate!!COMMUTING TO WORK!!Car, truck, or van -- carpooled"
"CP03_2008_021E","2008 Estimate!!COMMUTING TO WORK!!Public transportation (excluding taxicab)"
"CP03_2008_022E","2008 Estimate!!COMMUTING TO WORK!!Walked"
"CP03_2008_023E","2008 Estimate!!COMMUTING TO WORK!!Other means"
"CP03_2008_024E","2008 Estimate!!COMMUTING TO WORK!!Worked at home"
"CP03_2008_025E","2008 Estimate!!COMMUTING TO WORK!!Mean travel time to work (minutes)"
"CP03_2008_026E","2008 Estimate!!OCCUPATION!!Civilian employed population 16 years and over"
"CP03_2008_027E","2008 Estimate!!OCCUPATION!!Management, business, science, and arts occupations"
"CP03_2008_028E","2008 Estimate!!OCCUPATION!!Service occupations"
"CP03_2008_029E","2008 Estimate!!OCCUPATION!!Sales and office occupations"
"CP03_2008_030E","2008 Estimate!!OCCUPATION!!Natural resources, construction, and maintenance occupations"
"CP03_2008_031E","2008 Estimate!!OCCUPATION!!Production, transportation, and material moving occupations"
"CP03_2008_032E","2008 Estimate!!INDUSTRY!!Civilian employed population 16 years and over"
"CP03_2008_033E","2008 Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining"
"CP03_2008_034E","2008 Estimate!!INDUSTRY!!Construction"
"CP03_2008_035E","2008 Estimate!!INDUSTRY!!Manufacturing"
"CP03_2008_036E","2008 Estimate!!INDUSTRY!!Wholesale trade"
