"GEO_ID","id"
"NAME","Geographic Area Name"
"CP03_2006_001E","2006 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over"
"CP03_2006_002E","2006 Estimate!!EMPLOYMENT STATUS!!In labor force"
"CP03_2006_003E","2006 Estimate!!EMPLOYMENT STATUS!!In labor force!!Civilian labor force"
"CP03_2006_004E","2006 Estimate!!EMPLOYMENT STATUS!!In labor force!!Civilian labor force!!Employed"
"CP03_2006_005E","2006 Estimate!!EMPLOYMENT STATUS!!In labor force!!Civilian labor force!!Unemployed"
"CP03_2006_006E","2006 Estimate!!EMPLOYMENT STATUS!!In labor force!!Armed Forces"
"CP03_2006_007E","2006 Estimate!!EMPLOYMENT STATUS!!Not in labor force"
"CP03_2006_008E","2006 Estimate!!EMPLOYMENT STATUS!!Civilian labor force"
"CP03_2006_009E","2006 Estimate!!EMPLOYMENT STATUS!!Percent Unemployed"
"CP03_2006_010E","2006 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over"
"CP03_2006_011E","2006 Estimate!!EMPLOYMENT STATUS!!In labor force"
"CP03_2006_012E","2006 Estimate!!EMPLOYMENT STATUS!!In labor force!!Civilian labor force"
"CP03_2006_013E","2006 Estimate!!EMPLOYMENT STATUS!!In labor force!!Civilian labor force!!Employed"
"CP03_2006_014E","2006 Estimate!!EMPLOYMENT STATUS!!Own children under 6 years"
"CP03_2006_015E","2006 Estimate!!EMPLOYMENT STATUS!!All parents in family in labor force"
"CP03_2006_016E","2006 Estimate!!EMPLOYMENT STATUS!!Own children 6 to 17 years"
"CP03_2006_017E","2006 Estimate!!EMPLOYMENT STATUS!!All parents in family in labor force"
"CP03_2006_018E","2006 Estimate!!COMMUTING TO WORK!!Workers 16 years and over"
"CP03_2006_019E","2006 Estimate!!COMMUTING TO WORK!!Car, truck, or van -- drove alone"
"CP03_2006_020E","2006 Estimate!!COMMUTING TO WORK!!Car, truck, or van -- carpooled"
"CP03_2006_021E","2006 Estimate!!COMMUTING TO WORK!!Public transportation (excluding taxicab)"
"CP03_2006_022E","2006 Estimate!!COMMUTING TO WORK!!Walked"
"CP03_2006_023E","2006 Estimate!!COMMUTING TO WORK!!Other means"
"CP03_2006_024E","2006 Estimate!!COMMUTING TO WORK!!Worked at home"
"CP03_2006_025E","2006 Estimate!!COMMUTING TO WORK!!Mean travel time to work (minutes)"
"CP03_2006_026E","2006 Estimate!!OCCUPATION!!Civilian employed population 16 years and over"
"CP03_2006_027E","2006 Estimate!!OCCUPATION!!Management, business, science, and arts occupations"
"CP03_2006_028E","2006 Estimate!!OCCUPATION!!Service occupations"
"CP03_2006_029E","2006 Estimate!!OCCUPATION!!Sales and office occupations"
"CP03_2006_030E","2006 Estimate!!OCCUPATION!!Natural resources, construction, and maintenance occupations"
"CP03_2006_031E","2006 Estimate!!OCCUPATION!!Production, transportation, and material moving occupations"
"CP03_2006_032E","2006 Estimate!!INDUSTRY!!Civilian employed population 16 years and over"
"CP03_2006_033E","2006 Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining"
"CP03_2006_034E","2006 Estimate!!INDUSTRY!!Construction"
"CP03_2006_035E","2006 Estimate!!INDUSTRY!!Manufacturing"
"CP03_2006_036E","2006 Estimate!!INDUSTRY!!Wholesale trade"
"CP03_2006_037E","2006 Estimate!!INDUSTRY!!Retail trade"
"CP03_2006_038E","2006 Estimate!!INDUSTRY!!Transportation and warehousing, and utilities"
"CP03_2006_039E","2006 Estimate!!INDUSTRY!!Information"
"CP03_2006_040E","2006 Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing"
"CP03_2006_041E","2006 Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services"
"CP03_2006_042E","2006 Estimate!!INDUSTRY!!Educational services, and health care and social assistance"
"CP03_2006_043E","2006 Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services"
"CP03_2006_044E","2006 Estimate!!INDUSTRY!!Other services, except public administration"
"CP03_2006_045E","2006 Estimate!!INDUSTRY!!Public administration"
"CP03_2006_046E","2006 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over"
"CP03_2006_047E","2006 Estimate!!CLASS OF WORKER!!Private wage and salary workers"
"CP03_2006_048E","2006 Estimate!!CLASS OF WORKER!!Government workers"
"CP03_2006_049E","2006 Estimate!!CLASS OF WORKER!!Self-employed in own not incorporated business workers"
"CP03_2006_050E","2006 Estimate!!CLASS OF WORKER!!Unpaid family workers"
