"GEO_ID","id"
"NAME","Geographic Area Name"
"CP03_2013_001E","2013 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over"
"CP03_2013_002E","2013 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force"
"CP03_2013_003E","2013 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force"
"CP03_2013_004E","2013 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed"
"CP03_2013_005E","2013 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed"
"CP03_2013_006E","2013 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces"
"CP03_2013_007E","2013 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force"
"CP03_2013_008E","2013 Estimate!!EMPLOYMENT STATUS!!Civilian labor force"
"CP03_2013_009E","2013 Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate"
"CP03_2013_010E","2013 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over"
"CP03_2013_011E","2013 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force"
"CP03_2013_012E","2013 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force"
"CP03_2013_013E","2013 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed"
"CP03_2013_014E","2013 Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years"
"CP03_2013_015E","2013 Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force"
"CP03_2013_016E","2013 Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years"
"CP03_2013_017E","2013 Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force"
"CP03_2013_018E","2013 Estimate!!COMMUTING TO WORK!!Workers 16 years and over"
"CP03_2013_019E","2013 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone"
"CP03_2013_020E","2013 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled"
"CP03_2013_021E","2013 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab)"
"CP03_2013_022E","2013 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked"
"CP03_2013_023E","2013 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means"
"CP03_2013_024E","2013 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home"
"CP03_2013_025E","2013 Estimate!!COMMUTING TO WORK!!Mean travel time to work (minutes)"
"CP03_2013_026E","2013 Estimate!!OCCUPATION!!Civilian employed population 16 years and over"
"CP03_2013_027E","2013 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations"
"CP03_2013_028E","2013 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations"
"CP03_2013_029E","2013 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations"
"CP03_2013_030E","2013 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations"
"CP03_2013_031E","2013 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
"CP03_2013_032E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over"
"CP03_2013_033E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"CP03_2013_034E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction"
"CP03_2013_035E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing"
"CP03_2013_036E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade"
"CP03_2013_037E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade"
"CP03_2013_038E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"CP03_2013_039E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information"
"CP03_2013_040E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"CP03_2013_041E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"CP03_2013_042E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"CP03_2013_043E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"CP03_2013_044E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration"
"CP03_2013_045E","2013 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration"
"CP03_2013_046E","2013 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over"
"CP03_2013_047E","2013 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers"
"CP03_2013_048E","2013 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers"
"CP03_2013_049E","2013 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers"
"CP03_2013_050E","2013 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers"
"CP03_2013_051E","2013 Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households"
"CP03_2013_052E","2013 Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000"
